#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 09 20 00 275 11.9 14.3 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 09 21 00 275 14.9 17.0 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 09 22 00 257 11.6 14.0 99.00 99.00 99.00 999 9999.0   8.4 999.0 999.0 99.0 99.00
2024 01 09 23 00 283 15.6 18.8 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 10 00 00 270 11.1 12.9 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 10 01 00 256  9.6 11.4 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2024 01 10 02 00 225  9.2 10.9 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2024 01 10 03 00 238 14.4 17.0 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 10 04 00 225 16.9 18.7 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2024 01 10 05 00 224 18.5 21.8 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2024 01 10 06 00 293 16.3 19.3 99.00 99.00 99.00 999 9999.0   8.6 999.0 999.0 99.0 99.00
2024 01 10 07 00 306  8.5 10.7 99.00 99.00 99.00 999 9999.0   7.0 999.0 999.0 99.0 99.00
2024 01 10 08 00 289 14.0 17.3 99.00 99.00 99.00 999 9999.0   7.4 999.0 999.0 99.0 99.00
2024 01 10 09 00 307  9.0 11.4 99.00 99.00 99.00 999 9999.0   6.7 999.0 999.0 99.0 99.00
2024 01 10 10 00 295 11.1 13.5 99.00 99.00 99.00 999 9999.0   7.2 999.0 999.0 99.0 99.00
2024 01 10 11 00 320 10.5 12.5 99.00 99.00 99.00 999 9999.0   6.8 999.0 999.0 99.0 99.00
